scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-7.01212e-10,3.3336914e-10,9.811335e-10,1.9548148e-09,3.1633927e-09,4.158034e-09,5.3374305e-09,6.9300414e-09,8.429671e-09,1.0043073e-08,French horn
-3.5470418e-08,1.7081708e-08,4.726132e-08,9.0008164e-08,1.37103e-07,1.7785757e-07,2.219845e-07,2.900278e-07,3.4721052e-07,4.279927e-07,French horn
-3.302568e-07,1.738516e-07,4.9263195e-07,8.9212824e-07,1.3578959e-06,1.8178927e-06,2.3131076e-06,2.95543e-06,3.5996875e-06,4.2542742e-06,French horn
-1.310534e-07,4.4636437e-08,1.1591144e-07,2.3016712e-07,3.8140362e-07,4.876286e-07,5.6636327e-07,8.537739e-07,9.482475e-07,1.3654654e-06,French horn
-1.8930022e-09,1.0285754e-09,2.804505e-09,5.194237e-09,8.169395e-09,1.1051999e-08,1.3834221e-08,1.7431947e-08,2.038018e-08,2.469552e-08,French horn
-4.2807984e-09,1.9810709e-09,5.9493788e-09,1.1690922e-08,1.7928652e-08,2.3321501e-08,2.8346475e-08,3.6499543e-08,4.265562e-08,5.224131e-08,French horn
3.0862168e-08,-1.0728737e-08,-3.201855e-08,-6.9086404e-08,-1.2158509e-07,-1.9180794e-07,-2.823047e-07,-3.9169737e-07,-4.5149943e-07,-5.320178e-07,French horn
-4.277763e-07,2.4010282e-07,6.9244857e-07,1.2464579e-06,1.9002495e-06,2.6129371e-06,3.4410145e-06,4.3102e-06,5.3946947e-06,6.4053124e-06,French horn
-1.5322738e-07,6.4700075e-08,1.9218706e-07,3.8918523e-07,6.8538964e-07,1.0088814e-06,1.1095719e-06,1.0691347e-06,5.9827835e-07,3.6778155e-07,French horn
6.3047486e-07,-3.5352292e-07,-1.0115164e-06,-1.8137054e-06,-2.723502e-06,-3.6615395e-06,-4.644657e-06,-5.8719393e-06,-7.0366946e-06,-8.314213e-06,French horn
6.208967e-07,-2.847014e-07,-7.792193e-07,-1.4400289e-06,-2.220511e-06,-2.8667073e-06,-3.4190116e-06,-4.5528045e-06,-5.1376915e-06,-6.4779647e-06,French horn
6.1759704e-07,-2.1603357e-07,-5.873443e-07,-1.1412614e-06,-1.848349e-06,-2.6884923e-06,-3.989185e-06,-6.1012342e-06,-7.4879968e-06,-8.798362e-06,French horn
2.1300899e-08,-8.19837e-09,-2.249948e-08,-4.4783114e-08,-7.354807e-08,-9.7596406e-08,-1.2462287e-07,-1.7516297e-07,-2.2039958e-07,-2.909444e-07,French horn
-4.1289255e-08,1.6453884e-08,4.0065604e-08,7.175164e-08,1.0529328e-07,9.6181125e-08,3.2439246e-08,4.7201087e-08,-8.803127e-08,-5.3337256e-08,French horn
-3.0189597e-09,1.3606649e-09,4.136762e-09,7.4504527e-09,1.2754511e-08,1.9089008e-08,2.419715e-08,3.119311e-08,2.84142e-08,2.9536777e-08,French horn
2.7579773e-07,-1.2500612e-07,-3.333114e-07,-6.129864e-07,-9.420541e-07,-1.1805068e-06,-1.3375308e-06,-1.8039934e-06,-1.9045071e-06,-2.4751978e-06,French horn
