scale_0,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,label_list
-4.8832216e-13,-1.5765219e-11,5.902131e-11,2.3799329e-11,9.752484e-12,1.0865542e-10,3.077525e-11,-4.0833063e-11,2.1161774e-10,3.9548406e-10,Bassoon
1.5914046e-11,-8.8618663e-13,-4.0491974e-11,-1.3246876e-10,-9.825076e-11,-3.8187755e-11,3.764711e-11,4.64083e-11,1.5925875e-10,1.1904082e-10,Bassoon
-1.3751942e-11,2.186096e-11,2.0648571e-11,8.25236e-11,1.5387767e-10,1.6955423e-10,1.08123704e-10,-3.2114384e-11,-1.0068541e-10,-1.3151728e-10,Bassoon
5.9454476e-13,2.8918984e-11,1.00286775e-11,3.5767632e-11,1.9266105e-10,-2.685234e-10,-1.0102867e-09,-1.4050576e-09,-2.3420388e-10,1.4925458e-09,Bassoon
-3.3142686e-13,-1.4634138e-11,-2.2247284e-11,4.4175233e-11,2.0257513e-11,-5.2923638e-11,-1.6621754e-10,-2.3379992e-10,-2.6578947e-10,-1.6922999e-10,Bassoon
-2.6993241e-14,7.5166403e-13,-6.9546513e-12,-3.2288148e-11,-1.366959e-11,1.2743785e-10,3.6071374e-10,5.5529137e-10,6.743518e-10,4.505513e-10,Bassoon
-4.7796565e-14,-8.989911e-12,-2.0591051e-11,-5.7327868e-11,-3.544816e-11,-4.653197e-11,-1.8148424e-10,-3.147276e-10,-7.0584005e-10,-9.332373e-10,Bassoon
-5.357771e-13,-1.9247558e-11,-1.5294085e-11,1.3955525e-11,7.600727e-11,1.013932e-10,1.2450715e-10,7.546782e-11,1.3588587e-10,2.74804e-10,Bassoon
-4.3772047e-14,5.0876026e-12,-3.1607425e-11,8.471764e-11,1.1451703e-10,1.9957039e-10,2.4813382e-10,1.439249e-10,1.3077468e-10,2.41052e-10,Bassoon
-1.4408767e-11,1.0763478e-11,2.891373e-11,1.408306e-10,1.294204e-10,2.528368e-10,8.4464435e-10,1.0049215e-09,7.167318e-10,4.53238e-11,Bassoon
-1.2154236e-14,1.0774114e-12,-2.4214235e-11,-1.1559644e-11,8.100296e-11,7.149991e-11,1.4067047e-11,-2.1579556e-11,1.8687472e-10,4.5536014e-10,Bassoon
-1.42205145e-11,2.5745617e-11,4.0197984e-11,-3.7859094e-11,-5.336951e-11,1.4817787e-12,-1.0066485e-12,2.455549e-11,1.9504382e-11,2.3333613e-10,Bassoon
-7.312513e-15,1.4806511e-13,-1.96427e-12,-3.645648e-11,8.2821605e-12,1.365918e-10,2.0581807e-10,7.941814e-11,-1.2413326e-10,-3.0132025e-10,Bassoon
1.4606837e-11,-2.945269e-11,-1.32122984e-11,-1.1098399e-11,-2.7911796e-11,2.0569818e-11,-1.5526464e-11,-1.8537147e-10,-1.5440316e-10,-2.4773686e-10,Bassoon
-1.5868747e-11,2.9529348e-11,4.8017184e-11,2.8628785e-11,-8.715897e-11,-9.064657e-11,4.4097403e-11,1.7820127e-10,-1.7270092e-10,-4.7943643e-10,Bassoon
1.2036064e-11,-2.4335025e-11,-8.342274e-12,1.0172664e-11,-5.6590028e-11,-1.3153056e-10,-1.6035259e-10,-1.3054277e-10,-9.582702e-11,-7.826843e-11,Clarinet
1.266444e-11,-1.36643275e-11,-2.7839757e-11,-6.5267604e-11,-7.451465e-11,-3.3153712e-11,-1.4821402e-10,-3.9814735e-10,-8.781957e-10,-1.1441306e-09,Clarinet
-1.3551009e-11,-5.5119277e-12,4.5577077e-11,6.032371e-11,7.694773e-11,1.9853755e-10,3.8260395e-10,4.966109e-10,6.966992e-10,6.922838e-10,Clarinet
4.3757473e-13,1.7657672e-11,4.6602574e-12,-1.1052345e-11,-3.6630567e-11,-3.1597395e-11,-1.6282793e-11,-8.539901e-12,-1.7309359e-11,-6.6269615e-11,Clarinet
-2.2176657e-13,-3.1966597e-12,-8.508376e-12,2.1132698e-11,8.740897e-11,1.8674644e-10,3.7987535e-10,4.3408313e-10,4.678715e-10,1.7741601e-10,Clarinet
1.4300705e-14,-1.4265009e-13,-2.9462017e-12,4.7787447e-13,-4.39518e-12,-2.37411e-11,-6.4384095e-11,-9.668149e-11,-1.2440195e-10,-8.4145656e-11,Clarinet
1.3000879e-11,-3.9175628e-11,-4.1155614e-11,-3.1946404e-11,-3.239369e-11,5.864903e-12,4.9968394e-11,7.84332e-11,9.8866464e-11,1.06454e-10,Clarinet
-1.2927701e-11,6.737189e-12,1.8752857e-11,6.765072e-11,6.1153894e-11,4.0623015e-11,8.000618e-12,-2.8531264e-11,-1.8775675e-10,-3.1818795e-10,Clarinet
-1.4269695e-11,-1.2351787e-11,2.6878472e-11,5.8298914e-11,7.520097e-11,1.4985212e-10,1.7327882e-10,1.4799563e-10,6.573608e-11,8.251533e-11,Clarinet
-2.656435e-13,-4.6892798e-12,7.421509e-13,1.0964938e-11,3.3491987e-11,1.8595989e-10,4.4508422e-10,6.1237354e-10,5.783661e-10,2.4775565e-10,Clarinet
-1.2668197e-11,3.167604e-11,2.0677203e-11,3.600757e-11,-7.539891e-12,-1.1180076e-10,-2.4149854e-10,-3.0502811e-10,-4.5394e-10,-3.7672784e-10,Clarinet
-5.0772434e-13,-1.8109491e-11,-1.0027189e-11,5.143049e-11,4.263719e-11,4.0400395e-11,7.84929e-11,1.291569e-10,2.6329286e-10,3.7585018e-10,Clarinet
1.2228065e-11,-1.9986032e-11,-5.7601465e-11,-7.4219944e-12,7.86635e-11,1.4501478e-10,3.7538497e-10,6.1426547e-10,1.0517069e-09,1.3210216e-09,Clarinet
1.3897123e-11,-1.1022762e-11,-6.529763e-11,-2.065939e-11,4.1493592e-12,-3.3557046e-11,-7.83924e-11,-6.368514e-11,5.4566754e-11,1.8583964e-10,Clarinet
